2025/02/24 17:34:11 Starting API server on port 8080...
2025/02/24 17:35:40 GET /health | Response Time: 0s | CPU: 0.4 | Memory: 186 KB
2025/02/24 17:35:41 GET /health | Response Time: 0s | CPU: 0.4 | Memory: 200 KB
2025/02/24 17:35:42 GET /health | Response Time: 0s | CPU: 0.4 | Memory: 211 KB
2025/02/24 17:35:43 GET /health | Response Time: 0s | CPU: 0.4 | Memory: 215 KB
2025/02/24 17:35:45 GET /health | Response Time: 0s | CPU: 0.4 | Memory: 225 KB
2025/02/24 17:35:46 GET /health | Response Time: 0s | CPU: 0.4 | Memory: 227 KB
2025/02/24 20:05:49 POST /items | Response Time: 2.872ms | CPU: 1.2000000000000002 | Memory: 502 KB
2025/02/24 20:05:51 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 506 KB
2025/02/24 20:05:52 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 511 KB
2025/02/24 20:05:52 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 515 KB
2025/02/24 20:05:53 POST /items | Response Time: 537.8µs | CPU: 1.2000000000000002 | Memory: 519 KB
2025/02/24 20:05:54 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 523 KB
2025/02/24 20:05:55 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 527 KB
2025/02/24 20:05:55 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 531 KB
2025/02/24 20:05:56 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 535 KB
2025/02/24 20:05:57 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 539 KB
2025/02/24 20:05:57 POST /items | Response Time: 1.6636ms | CPU: 1.2000000000000002 | Memory: 543 KB
2025/02/24 20:05:58 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 547 KB
2025/02/24 20:05:59 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 551 KB
2025/02/24 20:05:59 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 555 KB
2025/02/24 20:06:00 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 559 KB
2025/02/24 20:06:01 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 563 KB
2025/02/24 20:06:02 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 568 KB
2025/02/24 20:06:02 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 572 KB
2025/02/24 20:06:03 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 576 KB
2025/02/24 20:06:04 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 580 KB
2025/02/24 20:06:04 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 584 KB
2025/02/24 20:06:05 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 588 KB
2025/02/24 20:06:05 POST /items | Response Time: 1.0855ms | CPU: 1.2000000000000002 | Memory: 592 KB
2025/02/24 20:06:06 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 596 KB
2025/02/24 20:06:07 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 600 KB
2025/02/24 20:06:07 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 604 KB
2025/02/24 20:06:08 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 608 KB
2025/02/24 20:06:09 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 612 KB
2025/02/24 20:06:09 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 616 KB
2025/02/24 20:06:10 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 620 KB
2025/02/24 20:06:10 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 624 KB
2025/02/24 20:06:11 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 628 KB
2025/02/24 20:06:12 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 632 KB
2025/02/24 20:06:12 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 636 KB
2025/02/24 20:06:16 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 640 KB
2025/02/24 20:06:17 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 644 KB
2025/02/24 20:06:17 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 648 KB
2025/02/24 20:06:18 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 654 KB
2025/02/24 20:06:19 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 658 KB
2025/02/24 20:06:19 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 662 KB
2025/02/24 20:06:20 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 666 KB
2025/02/24 20:06:21 POST /items | Response Time: 0s | CPU: 1.2000000000000002 | Memory: 670 KB
2025/02/24 20:07:11 GET /items | Response Time: 634µs | CPU: 1 | Memory: 690 KB
2025/02/24 20:07:12 GET /items | Response Time: 0s | CPU: 1 | Memory: 697 KB
2025/02/24 20:07:13 GET /items | Response Time: 0s | CPU: 1 | Memory: 700 KB
2025/02/24 20:07:14 GET /items | Response Time: 0s | CPU: 1 | Memory: 704 KB
2025/02/24 20:07:14 GET /items | Response Time: 0s | CPU: 1 | Memory: 707 KB
2025/02/24 20:07:15 GET /items | Response Time: 0s | CPU: 1 | Memory: 710 KB
2025/02/24 20:07:16 GET /items | Response Time: 0s | CPU: 1 | Memory: 717 KB
2025/02/24 20:07:16 GET /items | Response Time: 0s | CPU: 1 | Memory: 720 KB
2025/02/24 20:07:17 GET /items | Response Time: 0s | CPU: 1 | Memory: 723 KB
2025/02/24 20:07:18 GET /items | Response Time: 225.8µs | CPU: 1 | Memory: 726 KB
2025/02/24 20:07:18 GET /items | Response Time: 0s | CPU: 1 | Memory: 729 KB
2025/02/24 20:07:19 GET /items | Response Time: 0s | CPU: 1 | Memory: 732 KB
2025/02/24 20:07:19 GET /items | Response Time: 0s | CPU: 1 | Memory: 735 KB
2025/02/24 20:07:20 GET /items | Response Time: 0s | CPU: 1 | Memory: 738 KB
2025/02/24 20:07:21 GET /items | Response Time: 0s | CPU: 1 | Memory: 741 KB
2025/02/24 20:07:21 GET /items | Response Time: 0s | CPU: 1 | Memory: 744 KB
2025/02/24 20:07:22 GET /items | Response Time: 0s | CPU: 1 | Memory: 747 KB
2025/02/24 20:07:23 GET /items | Response Time: 0s | CPU: 1 | Memory: 750 KB
2025/02/24 20:07:23 GET /items | Response Time: 0s | CPU: 1 | Memory: 754 KB
2025/02/24 20:07:24 GET /items | Response Time: 0s | CPU: 1 | Memory: 757 KB
2025/02/24 20:07:24 GET /items | Response Time: 0s | CPU: 1 | Memory: 760 KB
2025/02/24 20:07:25 GET /items | Response Time: 0s | CPU: 1 | Memory: 763 KB
2025/02/24 20:07:26 GET /items | Response Time: 0s | CPU: 1 | Memory: 766 KB
2025/02/24 20:07:26 GET /items | Response Time: 0s | CPU: 1 | Memory: 769 KB
2025/02/24 20:07:27 GET /items | Response Time: 0s | CPU: 1 | Memory: 772 KB
2025/02/24 20:07:27 GET /items | Response Time: 0s | CPU: 1 | Memory: 775 KB
2025/02/24 20:07:28 GET /items | Response Time: 0s | CPU: 1 | Memory: 778 KB
2025/02/24 20:07:29 GET /items | Response Time: 0s | CPU: 1 | Memory: 781 KB
2025/02/24 20:07:29 GET /items | Response Time: 0s | CPU: 1 | Memory: 784 KB
2025/02/24 20:07:30 GET /items | Response Time: 0s | CPU: 1 | Memory: 787 KB
2025/02/24 20:07:31 GET /items | Response Time: 0s | CPU: 1 | Memory: 790 KB
2025/02/24 20:07:31 GET /items | Response Time: 0s | CPU: 1 | Memory: 793 KB
2025/02/24 20:07:32 GET /items | Response Time: 0s | CPU: 1 | Memory: 796 KB
2025/02/24 20:07:33 GET /items | Response Time: 0s | CPU: 1 | Memory: 800 KB
2025/02/24 20:07:34 GET /items | Response Time: 0s | CPU: 1 | Memory: 803 KB
2025/02/24 20:07:34 GET /items | Response Time: 0s | CPU: 1 | Memory: 806 KB
2025/02/24 20:07:35 GET /items | Response Time: 0s | CPU: 1 | Memory: 809 KB
2025/02/24 20:07:36 GET /items | Response Time: 0s | CPU: 1 | Memory: 812 KB
2025/02/24 20:07:37 GET /items | Response Time: 0s | CPU: 1 | Memory: 815 KB
2025/02/24 20:07:37 GET /items | Response Time: 0s | CPU: 1 | Memory: 818 KB
2025/02/24 20:07:38 GET /items | Response Time: 0s | CPU: 1 | Memory: 821 KB
2025/02/24 20:07:39 GET /items | Response Time: 0s | CPU: 1 | Memory: 824 KB
2025/02/24 20:07:39 GET /items | Response Time: 0s | CPU: 1 | Memory: 827 KB
2025/02/24 20:07:40 GET /items | Response Time: 0s | CPU: 1 | Memory: 830 KB
2025/02/24 20:07:40 GET /items | Response Time: 0s | CPU: 1 | Memory: 833 KB
2025/02/24 20:07:41 GET /items | Response Time: 0s | CPU: 1 | Memory: 836 KB
2025/02/24 20:07:41 GET /items | Response Time: 0s | CPU: 1 | Memory: 839 KB
2025/02/24 20:07:42 GET /items | Response Time: 0s | CPU: 1 | Memory: 843 KB
2025/02/24 20:07:43 GET /items | Response Time: 0s | CPU: 1 | Memory: 846 KB
2025/02/24 20:18:51 Starting API server on port 8080...
2025/02/24 20:19:13 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 191 KB
2025/02/24 20:19:23 GET /items/1000forloop | Response Time: 300µs | CPU: 0.4 | Memory: 207 KB
2025/02/24 20:19:24 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 221 KB
2025/02/24 20:19:25 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 233 KB
2025/02/24 20:19:26 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 236 KB
2025/02/24 20:19:26 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 239 KB
2025/02/24 20:19:27 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 242 KB
2025/02/24 20:19:28 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 245 KB
2025/02/24 20:19:28 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 248 KB
2025/02/24 20:19:29 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 251 KB
2025/02/24 20:19:30 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 255 KB
2025/02/24 20:19:30 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 258 KB
2025/02/24 20:19:31 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 262 KB
2025/02/24 20:19:31 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 265 KB
2025/02/24 20:19:34 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 269 KB
2025/02/24 20:19:35 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 272 KB
2025/02/24 20:19:36 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 275 KB
2025/02/24 20:19:37 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 278 KB
2025/02/24 20:19:37 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 281 KB
2025/02/24 20:19:38 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 284 KB
2025/02/24 20:19:39 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 287 KB
2025/02/24 20:19:40 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 290 KB
2025/02/24 20:19:41 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 293 KB
2025/02/24 20:19:42 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 297 KB
2025/02/24 20:19:42 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 300 KB
2025/02/24 20:19:43 GET /items/1000forloop | Response Time: 0s | CPU: 0.4 | Memory: 303 KB
